Id,Customer Name,Sales Rep, Amount ,Close Date
O106,Sholl's Colonial Cafeteria,SR9," $21,871 ",26-Jun-12
O107,Bennett Brothers,SR9," $910,767 ",11-Aug-12
O108,d.e.m.o.,SR8," $714,122 ",26-Aug-12
O109,Hit or Miss,SR11," $561,253 ",13-Feb-12
O110,Enviro Architectural Designs,SR20," $893,941 ",19-Mar-12
O111,Infinite Wealth,SR9," $628,890 ",20-May-12
O112,Sun Foods,SR1," $594,133 ",26-Oct-12
O113,Dahlkemper's,SR14," $309,978 ",13-Jul-12
O114,Independent Investors,SR22," $784,693 ",25-May-12
O115,Star Interior Design,SR24," $772,781 ",27-Aug-12
O116,Gamma Realty,SR27," $492,316 ",5-Mar-12
O117,Asian Fusion,SR5," $964,584 ",30-Nov-12
O118,Waves Music,SR7," $80,714 ",9-Jun-12
O119,CompuAdd,SR28," $315,386 ",10-Feb-12
O120,Steve & Barry's,SR16," $263,757 ",8-Apr-12
O121,Crown Auto Parts,SR2," $339,240 ",24-Mar-12
O122,Harmony House,SR29," $653,908 ",15-Aug-12
O123,The Polka Dot Bear Tavern,SR7," $620,202 ",5-Oct-12
O124,Dahlkemper's,SR9," $363,913 ",13-Jan-12
O125,Simply Appraisals,SR5," $46,799 ",27-Aug-12
O126,Ukrop's Super Market,SR14," $566,365 ",22-Jun-12
O127,Robert Hall,SR26," $512,882 ",26-Mar-12
O128,Twin Food Stores,SR10," $237,243 ",9-Sep-12
O129,Sounds of Soul Records & Tapes,SR12," $851,999 ",29-Jun-12
O130,Little Folk Shops,SR7," $241,921 ",30-Aug-12
O131,Express Merchant Service,SR20," $831,562 ",2-Jan-12
O132,J. Riggings,SR20," $998,030 ",17-Sep-12
O133,Starship Tapes & Records,SR10," $763,774 ",14-Jan-12
